age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
33.0,0,269705,4,9,0,6,2,0,1,0,0,40,0,0
30.0,0,101135,0,13,2,4,3,0,0,0,0,50,0,0
39.0,0,118429,1,10,1,3,3,0,1,0,0,40,0,0
26.0,0,31208,11,14,2,4,3,0,0,0,0,40,0,0
33.0,0,281384,4,9,2,7,1,0,0,0,0,40,0,0
47.0,4,171807,4,9,1,8,3,0,0,0,0,40,0,0
41.0,2,445382,6,12,0,1,2,0,1,15024,0,60,0,1
19.0,0,105460,1,10,2,2,1,0,1,0,0,20,0,0
46.0,0,170338,4,9,3,10,3,0,1,0,0,40,0,0
43.0,0,102606,4,9,0,3,2,0,1,0,0,48,0,0
55.0,0,323887,1,10,0,4,2,0,1,15024,0,45,0,1
46.0,0,175622,7,11,0,0,2,0,1,0,0,40,0,0
30.0,0,229636,4,9,0,7,2,0,1,0,0,40,20,0
21.0,0,388946,1,10,3,6,3,0,0,0,0,40,0,0
46.0,0,269034,1,10,0,1,2,3,1,0,0,40,24,0
41.0,0,75012,4,9,0,7,2,0,1,0,0,50,0,0
69.0,2,174379,4,9,0,3,2,0,1,0,0,30,0,0
50.0,0,312477,4,9,0,10,2,0,1,0,0,40,0,0
20.0,0,72055,1,10,2,8,3,0,0,0,0,40,0,0
45.0,2,67001,1,10,0,7,2,0,1,0,0,50,0,0
23.0,0,213734,0,13,2,4,3,0,1,0,0,40,0,0
24.0,0,83141,1,10,3,2,3,0,1,0,1876,40,0,0
31.0,1,113752,1,10,0,1,2,0,1,0,0,50,0,0
43.0,0,170482,4,9,3,7,3,0,0,0,0,44,0,0
20.0,3,244689,3,7,2,2,1,0,0,0,0,10,0,0
55.0,0,160631,4,9,0,3,2,0,1,0,0,56,0,1
24.0,3,228724,1,10,2,13,3,0,1,0,0,40,0,0
59.0,0,292946,0,13,2,4,3,0,0,0,0,25,0,0
49.0,3,77443,9,4,2,2,3,4,1,0,0,20,0,0
33.0,0,176410,11,14,0,5,0,0,0,5178,0,10,0,1
59.0,3,98984,0,13,1,8,3,0,1,0,0,40,0,0
34.0,0,198751,11,14,2,2,3,2,1,0,0,40,0,0
20.0,0,479296,4,9,2,6,1,0,1,0,0,40,0,0
25.0,0,235218,0,13,2,4,1,0,0,0,0,40,0,0
49.0,0,164877,13,6,0,9,2,0,1,0,0,40,0,0
59.0,0,272087,4,9,0,10,2,0,1,0,0,40,0,1
20.0,0,169699,4,9,2,8,3,0,0,0,0,40,0,0
33.0,0,202191,1,10,2,8,5,4,0,0,0,35,0,0
22.0,0,212261,1,10,2,10,1,4,1,0,0,39,0,0
58.0,1,301568,8,5,4,2,3,0,0,0,0,40,0,0
52.0,4,155233,4,9,4,8,5,0,0,0,0,28,0,0
36.0,0,75826,13,6,3,7,3,0,0,0,0,40,0,0
41.0,4,201520,4,9,0,12,2,0,1,0,0,40,0,0
28.0,0,154236,4,9,2,10,1,0,1,2597,0,40,0,0
19.0,0,289227,1,10,2,6,1,4,1,0,0,16,0,0
18.0,0,217439,4,9,2,2,3,0,0,0,0,28,0,0
18.0,0,179020,4,9,2,7,1,0,0,0,0,48,0,0
28.0,0,149624,1,10,0,1,2,0,1,0,0,40,0,0
29.0,0,337266,7,11,0,4,2,0,1,0,0,40,0,1
40.0,0,103541,1,10,0,6,2,0,1,0,0,40,0,0
26.0,0,206721,4,9,2,6,5,0,1,0,0,40,0,0
46.0,0,96773,4,9,0,1,2,0,1,0,0,40,0,0
23.0,0,200967,3,7,2,2,3,0,0,0,0,24,0,0
44.0,0,180019,4,9,5,8,5,0,0,0,0,40,0,0
43.0,0,179866,0,13,1,3,5,0,0,0,0,40,0,1
31.0,4,198770,0,13,1,5,5,0,0,0,0,60,0,0
18.0,0,219256,1,10,2,3,1,0,0,0,0,25,0,0
19.0,0,248730,1,10,2,12,1,0,1,0,0,30,0,0
41.0,0,110732,1,10,1,0,3,0,0,0,0,40,0,0
41.0,0,181020,4,9,1,6,5,0,0,0,0,40,0,0
69.0,0,183791,4,9,1,8,3,0,0,0,0,25,0,0
48.0,3,42972,14,16,0,5,0,0,0,0,0,40,0,1
28.0,0,134813,4,9,2,5,1,0,1,0,0,40,0,0
27.0,1,115438,4,9,0,1,2,0,1,0,0,60,22,1
41.0,0,239296,11,14,0,5,2,0,1,0,2415,50,0,1
41.0,0,428420,1,10,0,8,2,0,1,0,0,40,0,0
24.0,0,247846,4,9,2,1,5,4,0,0,0,40,0,0
42.0,2,100793,14,16,0,5,2,0,1,0,0,41,0,1
57.0,0,244478,4,9,0,1,2,4,1,0,0,48,0,0
30.0,0,142921,6,12,2,5,3,0,0,0,0,40,0,0
36.0,0,182863,4,9,0,3,2,0,1,0,0,60,0,1
49.0,0,171128,9,4,0,7,2,4,1,0,0,40,0,0
33.0,0,145402,4,9,0,7,0,0,0,0,0,35,0,0
23.0,0,306309,13,6,0,9,2,0,1,0,0,40,0,0
46.0,0,83822,11,14,0,5,2,0,1,0,0,40,0,0
18.0,0,262118,1,10,2,8,1,1,0,0,0,22,5,0
40.0,0,155972,4,9,0,4,2,0,1,7688,0,55,0,1
43.0,2,214503,4,9,0,4,2,0,1,0,1887,45,0,1
34.0,0,159303,11,14,2,5,1,0,0,0,0,30,0,0
47.0,1,174995,4,9,4,4,3,0,0,0,0,30,0,0
44.0,0,26669,7,11,4,4,5,0,0,0,0,30,0,0
33.0,0,177727,4,9,0,3,2,0,1,0,0,40,0,1
55.0,0,124771,0,13,0,4,2,0,1,15024,0,50,0,1
19.0,0,456736,4,9,2,3,3,0,1,2907,0,30,0,0
28.0,0,216604,1,10,2,2,3,4,1,0,0,14,0,0
27.0,0,221561,3,7,0,2,0,4,0,0,0,32,0,0
50.0,0,114564,9,4,0,7,2,0,1,0,0,20,0,0
22.0,0,315476,3,7,2,1,5,0,1,0,0,40,0,0
40.0,5,67874,0,13,0,8,2,0,1,0,1887,45,0,1
25.0,0,126110,1,10,2,8,1,0,0,0,0,40,0,0
26.0,4,102264,4,9,2,1,3,0,1,0,0,40,0,0
22.0,0,537222,0,13,2,3,3,0,1,0,0,25,0,0
42.0,0,113732,1,10,2,6,5,4,0,0,625,40,0,0
38.0,2,93225,0,13,1,4,3,0,1,0,0,40,0,0
55.0,0,43064,3,7,0,2,2,0,1,0,0,30,0,0
32.0,0,136921,4,9,0,3,2,0,1,0,0,40,0,0
22.0,0,388885,4,9,0,1,2,0,1,0,0,45,0,0
29.0,0,142249,0,13,2,3,1,0,1,0,0,40,0,0
46.0,5,56841,11,14,0,4,2,0,1,0,0,45,0,1
31.0,0,156493,1,10,0,4,2,0,1,0,0,40,0,1
58.0,1,159021,14,16,0,5,2,0,1,0,0,16,0,1
42.0,0,190910,4,9,0,1,2,0,1,0,0,45,0,0
18.0,0,41879,4,9,2,6,5,0,1,0,0,25,0,0
58.0,4,137249,4,9,1,4,3,0,1,0,0,33,0,0
54.0,0,236157,4,9,0,5,2,0,1,0,1887,40,0,1
34.0,0,189759,11,14,2,5,3,0,1,0,0,40,0,0
26.0,0,239877,0,13,2,8,3,0,0,0,0,40,0,0
61.0,0,21175,10,8,0,4,2,0,1,0,0,60,0,0
48.0,4,67229,11,14,3,8,5,4,0,0,0,40,0,0
36.0,0,236391,1,10,0,4,2,0,1,0,0,45,0,1
24.0,0,325596,7,11,0,7,2,0,1,0,0,45,0,0
40.0,0,83411,1,10,0,7,2,0,1,0,0,37,0,0
33.0,2,154227,4,9,0,3,2,0,1,0,0,50,0,1
37.0,0,248010,1,10,0,7,2,0,1,0,1887,40,0,1
34.0,0,198613,11,14,2,4,1,0,1,4650,0,40,0,0
56.0,2,321529,1,10,0,4,2,0,1,15024,0,40,0,1
37.0,0,203079,0,13,4,4,3,0,0,0,0,55,0,0
44.0,0,284652,4,9,1,3,5,4,0,0,0,40,0,0
54.0,0,59840,4,9,1,6,3,0,1,0,0,45,0,0
23.0,0,52753,4,9,2,7,3,0,1,0,0,50,0,0
22.0,0,199266,4,9,2,2,3,0,0,0,0,45,0,0
33.0,0,196385,0,13,0,4,2,0,1,0,1977,40,0,1
39.0,0,163205,0,13,3,5,3,0,1,0,0,50,0,1
47.0,0,411047,1,10,1,8,3,4,0,0,0,37,0,0
26.0,0,209440,4,9,2,5,5,4,0,0,0,55,0,0
31.0,0,56964,1,10,1,4,5,0,0,0,0,40,0,0
44.0,0,299197,1,10,2,10,3,0,1,0,0,45,0,0
42.0,2,240628,5,15,0,5,0,0,0,0,0,50,0,1
19.0,0,355313,4,9,2,7,3,0,0,0,0,40,0,0
27.0,0,132267,4,9,0,6,2,0,1,0,0,40,0,1
51.0,4,174861,1,10,0,12,2,0,1,0,0,40,0,1
28.0,2,142443,0,13,0,4,2,0,1,0,0,50,0,0
57.0,0,26716,0,13,1,1,3,0,1,0,0,45,0,0
45.0,4,185588,0,13,1,5,5,0,0,0,0,40,0,0
50.0,0,175029,7,11,0,5,2,0,1,0,0,40,0,1
34.0,2,34848,0,13,0,3,2,0,1,0,0,54,0,0
45.0,0,411273,9,4,0,1,2,4,1,0,0,40,0,0
73.0,4,143437,4,9,0,4,2,0,1,0,0,20,0,0
34.0,0,357145,0,13,0,5,0,0,0,0,0,50,0,1
31.0,0,236861,1,10,0,3,2,0,1,0,0,55,0,1
19.0,0,53355,3,7,2,3,3,0,1,0,0,12,0,0
25.0,0,29106,1,10,2,2,1,0,0,0,0,50,0,0
38.0,3,213274,7,11,1,1,5,0,0,6497,0,40,0,0
39.0,0,22463,0,13,0,10,2,0,1,0,0,40,0,0
23.0,0,180497,0,13,2,0,1,4,0,0,0,32,0,0
49.0,0,37306,4,9,0,7,2,0,1,0,0,40,0,0
33.0,3,137814,4,9,2,2,3,0,1,0,0,32,0,0
21.0,0,447488,15,3,2,7,4,0,1,0,0,38,20,0
31.0,0,220915,7,11,3,1,3,0,1,0,0,40,0,0
23.0,0,42251,0,13,2,4,3,0,0,0,0,45,0,0
34.0,0,162312,0,13,0,8,2,1,1,0,0,40,15,0
25.0,0,77698,4,9,2,7,3,1,0,0,0,40,15,0
39.0,0,282951,4,9,2,1,5,0,1,0,0,40,0,0
52.0,2,311259,4,9,0,3,2,0,1,0,0,40,0,1
63.0,4,65479,8,5,0,10,2,0,1,7688,0,40,0,1
41.0,0,277256,1,10,0,1,2,0,1,0,0,40,0,0
46.0,0,312088,0,13,0,5,2,0,1,15024,0,38,0,1
53.0,4,169719,4,9,0,4,2,0,1,0,0,40,0,0
18.0,0,96869,10,8,2,11,1,0,1,0,0,40,0,0
38.0,0,237943,5,15,0,5,2,0,1,0,0,50,0,0
55.0,0,119751,11,14,2,4,5,1,0,0,0,50,34,0
34.0,0,236861,4,9,0,0,2,0,1,0,0,40,0,1
80.0,1,201092,4,9,0,2,2,0,1,0,0,30,0,0
34.0,0,147215,7,11,1,0,5,0,0,0,0,60,0,0
52.0,0,152373,1,10,0,0,2,0,1,5013,0,40,0,0
42.0,0,227968,4,9,2,2,5,4,0,0,0,28,28,0
26.0,0,362617,1,10,2,3,3,0,0,0,0,40,0,0
31.0,0,103435,4,9,0,10,2,0,1,0,0,40,0,0
25.0,4,281412,4,9,2,2,1,0,0,0,0,35,0,0
55.0,1,105239,4,9,0,1,2,0,1,0,2057,60,0,0
19.0,0,230165,1,10,2,2,1,0,0,0,0,12,0,0
62.0,1,177493,1,10,0,10,2,0,1,0,0,32,0,0
22.0,3,104443,1,10,2,8,1,0,0,0,0,20,0,0
35.0,0,143385,4,9,0,6,2,0,1,0,0,40,0,0
28.0,0,107189,4,9,0,3,1,0,0,0,0,40,0,0
47.0,0,212944,4,9,0,10,2,0,1,0,0,70,0,1
44.0,5,138634,4,9,0,7,2,0,1,0,0,40,0,0
21.0,0,99970,1,10,2,3,1,0,1,0,0,15,0,0
35.0,0,203717,7,11,2,1,3,0,1,0,0,50,0,0
24.0,0,313956,0,13,0,5,2,0,1,0,0,40,0,1
28.0,0,193868,0,13,2,0,1,0,1,0,0,50,0,0
21.0,0,250939,1,10,2,7,4,0,1,0,0,35,0,0
62.0,3,57629,1,10,1,0,3,4,1,4650,0,40,0,0
39.0,0,281768,4,9,2,2,3,4,0,0,0,40,0,0
30.0,5,260782,4,9,2,2,3,0,1,0,0,40,0,0
72.0,1,243769,5,15,2,5,3,0,1,0,1429,20,0,0
50.0,0,109937,1,10,0,4,0,0,0,0,0,50,0,0
28.0,4,134890,11,14,2,5,3,0,1,0,0,40,0,0
29.0,0,100293,1,10,2,5,3,0,0,0,0,40,0,0
26.0,0,132179,0,13,2,8,1,0,0,0,0,40,0,0
27.0,0,116372,11,14,2,4,3,0,0,0,0,40,0,0
29.0,0,255412,1,10,0,6,2,0,1,3103,0,40,0,1
29.0,0,342400,13,6,0,1,2,0,1,0,0,25,0,0
31.0,0,169085,3,7,0,3,0,0,0,0,0,20,0,0
25.0,0,177221,4,9,0,4,2,0,1,0,0,75,0,0
58.0,0,65325,13,6,0,10,2,0,1,0,0,40,0,1
64.0,0,118944,1,10,0,4,0,0,0,0,0,40,0,1
46.0,5,149337,11,14,2,4,3,0,1,0,0,38,0,0
19.0,0,106183,4,9,2,2,1,2,0,0,0,35,0,0
42.0,0,226388,4,9,1,2,3,4,1,0,0,52,0,0
18.0,0,220754,3,7,2,6,1,0,1,0,0,24,0,0
58.0,2,204021,0,13,0,1,2,0,1,15024,0,50,0,1
20.0,0,347391,1,10,2,12,3,4,1,0,0,60,0,0
35.0,3,413930,4,9,0,1,2,0,1,0,0,40,0,1
32.0,0,174201,4,9,0,6,2,0,1,0,0,38,0,1
23.0,0,145917,4,9,2,6,3,0,0,0,0,25,0,0
31.0,0,241797,1,10,1,0,5,0,0,0,0,40,0,0
33.0,0,265168,0,13,0,3,2,4,1,0,0,55,0,0
41.0,0,171234,1,10,2,7,3,0,0,0,0,48,0,0
22.0,0,178452,4,9,2,7,1,4,1,0,0,40,0,0
46.0,0,157857,1,10,0,12,2,0,1,0,0,40,0,1
61.0,3,512864,1,10,0,10,2,4,1,0,0,40,0,0
30.0,0,296462,4,9,2,4,3,4,1,0,0,40,0,0
42.0,0,171615,4,9,0,4,2,0,1,0,0,55,0,1
63.0,0,214071,13,6,0,6,2,0,1,0,0,40,0,0
26.0,0,172421,1,10,0,3,2,0,1,0,0,40,0,0
42.0,0,195488,13,6,1,8,5,0,0,0,0,40,0,0
23.0,0,316841,1,10,0,2,2,0,1,0,0,40,0,0
25.0,0,236267,4,9,2,7,5,0,1,0,1590,40,0,0
30.0,0,236543,8,5,0,2,2,0,1,0,0,32,36,1
23.0,0,318483,4,9,2,3,1,0,1,0,0,40,0,0
34.0,1,163756,7,11,2,9,3,0,1,27828,0,60,0,1
30.0,0,238186,4,9,0,7,4,0,1,0,2057,48,0,0
39.0,0,329980,1,10,0,1,2,0,1,0,0,40,0,1
30.0,0,169269,3,7,2,6,4,0,1,0,1721,38,3,0
38.0,4,34744,1,10,1,8,5,0,0,0,0,38,0,0
26.0,0,98114,4,9,1,4,1,0,0,0,0,40,0,0
20.0,0,109667,1,10,2,6,1,0,1,0,0,16,0,0
33.0,0,147430,4,9,0,8,1,0,0,0,0,40,0,0
24.0,0,224238,0,13,2,8,1,0,1,0,0,40,0,0
42.0,2,212894,0,13,0,4,2,0,1,0,0,60,0,1
51.0,1,136708,4,9,0,3,2,1,1,3103,0,84,19,0
56.0,4,38573,6,12,0,0,2,0,1,0,0,45,0,1
22.0,0,197200,1,10,2,6,1,0,1,0,0,40,0,0
52.0,1,182796,1,10,0,9,2,0,1,0,0,60,0,0
44.0,0,184527,0,13,1,4,5,0,0,4934,0,45,0,1
34.0,0,145231,4,9,0,8,0,0,0,4064,0,35,0,0
51.0,0,43354,1,10,1,1,3,0,1,0,0,42,0,1
19.0,0,355712,1,10,2,3,3,0,0,0,0,25,0,0
37.0,0,98776,0,13,0,4,2,0,1,0,0,40,0,1
68.0,0,257557,4,9,0,7,2,4,1,0,0,40,0,1
22.0,0,102258,1,10,1,12,3,0,1,0,0,40,0,0
56.0,2,170287,0,13,0,4,2,0,1,0,0,40,0,0
37.0,0,243409,4,9,0,1,2,0,1,0,0,40,0,0
52.0,0,55608,12,2,0,7,2,0,1,0,0,40,20,0
26.0,0,248057,4,9,3,6,1,0,1,0,0,40,3,0
33.0,0,95530,11,14,0,5,2,0,1,0,0,50,0,0
45.0,4,54038,11,14,1,5,5,0,0,0,0,42,0,0
18.0,0,161245,3,7,2,2,1,0,1,0,0,15,0,0
43.0,1,388725,1,10,0,9,2,0,1,0,0,60,0,1
18.0,0,228216,4,9,2,6,1,0,1,0,0,20,0,0
57.0,0,78020,4,9,0,1,2,0,1,0,0,40,0,1
41.0,0,249254,4,9,1,8,5,0,0,3674,0,42,0,0
34.0,0,87218,11,14,0,4,2,0,1,0,1887,50,0,1
19.0,0,304299,4,9,2,3,5,0,0,0,0,40,0,0
44.0,0,196234,8,5,1,2,5,0,0,0,0,55,24,0
56.0,0,197875,13,6,4,2,5,0,0,0,0,40,0,0
36.0,2,48063,4,9,0,9,2,0,1,0,0,80,0,0
48.0,0,253596,0,13,1,4,5,0,0,0,0,48,0,0
29.0,0,39257,4,9,0,10,2,0,1,0,0,40,0,1
33.0,0,56150,0,13,2,1,3,0,1,2174,0,40,0,0
31.0,0,179415,15,3,0,2,2,0,1,0,0,40,20,0
39.0,0,252445,11,14,0,5,2,0,1,0,0,45,0,1
66.0,0,275918,4,9,0,4,2,0,1,10605,0,40,0,1
27.0,0,106562,0,13,2,5,3,0,0,0,0,50,0,1
39.0,0,198654,4,9,1,4,5,4,0,99999,0,40,0,1
59.0,0,107318,9,4,0,1,2,0,1,5178,0,50,0,1
26.0,0,181896,4,9,2,2,1,0,0,0,0,40,0,0
31.0,0,106014,7,11,1,1,5,0,1,0,0,40,0,0
23.0,0,197997,4,9,2,6,1,0,1,0,0,30,0,0
36.0,4,173542,4,9,1,8,5,0,0,0,0,40,0,0
34.0,0,207564,1,10,0,2,0,0,0,0,0,12,0,1
32.0,0,224462,4,9,0,10,2,0,1,0,0,84,0,1
37.0,0,123361,0,13,0,5,2,4,1,0,0,50,0,1
33.0,0,90409,0,13,2,3,3,0,1,0,0,45,0,0
50.0,1,165001,5,15,0,5,2,0,1,99999,0,80,0,1
32.0,3,149573,6,12,2,12,3,4,1,0,0,40,0,0
35.0,0,249456,0,13,2,8,1,4,0,0,0,40,0,0
37.0,0,149898,3,7,0,1,2,0,1,0,0,40,0,0
44.0,0,292985,1,10,1,1,3,0,1,0,0,60,0,0
57.0,0,50223,1,10,1,6,4,0,1,0,0,25,0,0
29.0,4,400074,1,10,0,4,1,0,0,0,0,40,0,0
55.0,0,197399,4,9,0,1,2,0,1,0,0,50,0,1
43.0,2,209547,5,15,0,5,2,0,1,0,0,25,0,1
43.0,0,52433,1,10,0,3,2,0,1,0,0,70,0,0
45.0,1,355978,1,10,0,3,2,0,1,0,0,60,0,1
33.0,1,48214,11,14,0,5,0,0,0,0,0,8,0,0
26.0,0,190873,13,6,1,2,5,0,0,0,0,40,5,0
23.0,0,278390,1,10,0,3,2,0,1,0,0,68,0,0
41.0,0,203217,9,4,3,1,3,0,1,0,0,40,20,0
24.0,0,279175,4,9,0,1,2,0,1,0,0,40,0,0
47.0,1,194590,0,13,0,3,2,0,1,0,0,44,0,0
34.0,1,198813,4,9,2,1,1,0,1,0,0,45,0,0
40.0,0,187294,4,9,0,4,2,0,1,0,0,40,0,1
28.0,0,302903,0,13,0,5,0,1,0,0,1485,40,0,0
24.0,0,154835,4,9,2,4,1,1,0,0,0,40,10,0
23.0,0,100345,4,9,2,1,4,0,1,0,0,15,0,0
43.0,1,126320,4,9,0,4,2,4,1,0,0,40,0,1
26.0,0,142226,0,13,1,0,3,0,0,0,0,40,0,0
58.0,1,112076,14,16,6,4,0,0,0,0,1485,35,0,1
52.0,0,225339,4,9,4,8,5,4,0,0,0,35,0,0
29.0,0,211208,3,7,0,10,2,0,1,0,0,99,0,1
47.0,0,200808,3,7,0,2,2,0,1,0,0,35,29,0
49.0,0,220618,4,9,1,8,5,4,0,0,0,37,0,0
40.0,0,210493,3,7,4,8,5,0,0,0,0,40,0,0
62.0,1,369734,4,9,0,8,0,0,0,0,0,40,0,0
49.0,0,27898,4,9,0,4,2,0,1,0,1977,55,0,1
50.0,0,138193,0,13,1,5,4,0,0,0,0,50,0,1
31.0,0,224234,4,9,2,10,1,4,1,0,0,40,0,0
48.0,4,188741,11,14,2,5,3,0,0,0,0,50,0,0
24.0,0,183772,4,9,2,1,5,0,0,0,0,40,0,0
37.0,0,79586,4,9,3,7,1,1,1,0,0,60,0,0
45.0,0,355781,0,13,0,4,2,1,1,0,0,45,8,1
36.0,0,116358,11,14,0,4,2,1,1,0,0,45,7,0
45.0,0,59287,0,13,0,4,2,0,1,0,0,40,0,0
41.0,0,138868,0,13,2,3,3,0,0,0,0,40,0,0
26.0,0,185885,6,12,2,0,4,0,0,0,0,20,0,0
17.0,0,40299,3,7,2,3,1,0,0,0,0,25,0,0
43.0,0,51494,4,9,0,7,2,0,1,0,0,65,0,0
35.0,0,179481,4,9,2,10,1,0,1,0,0,55,0,0
38.0,0,365907,0,13,1,8,5,0,0,0,0,40,0,0
26.0,0,284343,4,9,2,7,3,0,1,0,0,40,0,0
28.0,0,204862,1,10,2,4,1,0,0,0,0,40,0,0
38.0,0,272476,0,13,0,5,0,0,0,0,0,24,0,1
36.0,0,175130,3,7,1,10,5,0,0,0,0,40,0,0
33.0,0,118941,4,9,0,8,0,0,0,0,0,40,0,1
19.0,0,164339,4,9,2,6,1,0,1,1055,0,70,0,0
42.0,3,55457,13,6,0,8,2,0,1,0,0,40,20,0
50.0,0,280292,13,6,0,10,2,0,1,0,0,40,0,1
30.0,0,446894,4,9,0,6,2,0,1,0,0,30,0,0
37.0,5,67083,1,10,0,5,4,1,1,0,0,40,1,0
54.0,2,159219,5,15,0,5,2,0,1,99999,0,40,0,1
52.0,2,168539,0,13,2,4,3,0,1,0,0,40,0,0
33.0,0,150309,4,9,1,1,3,0,0,0,0,40,0,0
25.0,0,122999,1,10,2,0,4,0,1,0,0,40,0,0
24.0,0,302195,0,13,2,3,3,0,1,0,0,45,0,0
26.0,0,210982,7,11,3,8,5,4,0,114,0,40,0,0
39.0,0,177140,4,9,3,8,3,0,1,0,0,40,0,1
59.0,0,113838,4,9,1,2,3,0,0,0,0,40,0,0
29.0,0,97165,1,10,2,8,5,0,0,0,0,40,0,0
47.0,0,104301,3,7,2,2,1,0,0,0,0,45,0,0
64.0,2,115931,4,9,0,10,2,0,1,0,0,50,0,0
21.0,0,147280,4,9,2,2,1,3,1,0,0,20,0,0
32.0,0,185433,1,10,0,8,0,4,0,0,0,40,0,1
26.0,0,599057,4,9,2,4,3,4,0,0,0,37,0,0
62.0,1,71467,11,14,0,5,2,0,1,0,0,40,0,0
32.0,0,183977,0,13,0,1,2,0,1,0,0,55,0,1
45.0,1,196858,4,9,0,4,2,0,1,0,0,60,0,0
31.0,0,160594,0,13,0,4,2,0,1,0,1887,50,0,1
32.0,0,65278,4,9,0,8,2,0,1,2580,0,40,0,0
24.0,0,102258,0,13,0,3,2,0,1,0,0,40,0,0
25.0,0,196947,0,13,2,3,1,0,0,0,0,40,0,0
41.0,1,233150,4,9,0,4,2,0,1,0,0,60,0,0
18.0,0,42857,1,10,2,3,1,0,0,0,0,20,0,0
44.0,0,118059,14,16,0,5,2,0,1,0,0,55,0,1
40.0,0,169262,1,10,0,4,2,0,1,3411,0,50,0,0
27.0,0,95108,0,13,2,5,3,0,1,0,0,40,0,0
23.0,0,161092,0,13,2,8,1,0,1,0,0,40,0,0
21.0,0,345253,1,10,2,8,3,3,1,2174,0,40,0,0
37.0,5,111275,4,9,0,10,2,0,1,0,0,40,0,0
65.0,1,178878,4,9,0,9,2,0,1,0,0,48,0,0
43.0,3,157237,11,14,0,5,2,0,1,0,0,40,0,1
45.0,0,155664,4,9,2,8,3,0,1,0,0,44,0,0
24.0,5,322658,0,13,2,4,3,0,0,0,0,40,0,0
24.0,0,208503,1,10,2,7,3,0,1,0,0,42,0,0
